world_rank,word_rank_2,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year,continent
226-250,235,Korea University,South Korea,39.5,23.4,39.6,30.2,49.7,-,"24,043",15.8,14%,,2012,Asia
226-250,236,Macquarie University,Australia,21.3,93,23.2,46.5,42.3,-,"27,930",20,44%,55:45:00,2012,Oceania
226-250,237,National Chiao Tung University,Taiwan,36.4,24.2,44.5,25.1,100,-,"12,646",16.6,5%,27 : 73,2012,Asia
226-250,238,Simon Fraser University,Canada,19.6,56.8,30,53,37.6,-,"26,640",28.3,19%,55:45:00,2012,North America
226-250,239,State University of New York Albany,United States of America,25.7,25.9,30.8,53.5,92.9,-,"15,387",18.5,8%,51:49:00,2012,North America
226-250,240,Swedish University of Agricultural Sciences,Sweden,28.9,43.5,22.2,49.8,100,-,"3,879",4.6,,67:33:00,2012,Europe
226-250,241,Tokyo Metropolitan University,Japan,19,17.8,10.3,84.3,27.6,-,"9,303",9.9,4%,35 : 65,2012,Asia
226-250,242,University of Bologna,Italy,32.7,34.9,22,52.1,32.2,-,"85,532",22.9,7%,56:44:00,2012,Europe
226-250,243,University of Calgary,Canada,34,42.7,34.4,39.7,39.5,-,"28,341",16.5,17%,53:47:00,2012,North America
226-250,244,University of Hamburg,Germany,35.2,56.3,21.3,50,27.4,-,,,,,2012,Europe
226-250,245,University of Milan,Italy,37.1,34.3,24.3,51.3,35,-,"58,618",24.3,5%,60:40:00,2012,Europe
226-250,246,University of Milan-Bicocca,Italy,22.5,33.2,12.3,78.3,35.6,-,"33,370",72.5,5%,60:40:00,2012,Europe
226-250,247,University of Missouri,United States of America,38.5,26.9,33.7,37.7,26.5,-,"29,885",14.1,5%,53:47:00,2012,North America
226-250,248,University of Padua,Italy,24.2,34.3,26,56.2,31.1,-,"62,577",18.3,4%,56:44:00,2012,Europe
226-250,249,University of Trieste,Italy,16.7,45.5,12.9,76.9,31.3,-,"18,135",25.8,9%,56:44:00,2012,Europe
226-250,250,Yonsei University,South Korea,41.5,23.3,33.6,36.9,47.9,-,"24,774",11.6,14%,,2012,Asia
251-275,251,Bangor University,United Kingdom,24.9,67.1,23.8,48,29,-,"9,567",19.5,22%,55:45:00,2012,Europe
251-275,252,Bielefeld University,Germany,19.1,45.2,17,61.6,28.6,-,"21,428",67.8,8%,57:43:00,2012,Europe
251-275,253,Brunel University London,United Kingdom,17.4,89.9,20.3,51.7,30,-,"12,613",17.6,38%,46:54:00,2012,Europe
251-275,254,Hong Kong Polytechnic University,Hong Kong,30.1,62.5,37.3,22.2,72.8,-,"22,064",25.9,26%,51:49:00,2012,Asia
251-275,255,Johannes Kepler University of Linz,Austria,18.4,56.6,11.1,62.8,73.4,-,"19,646",29.1,10%,48:52:00,2012,Europe
251-275,256,Kyushu University,Japan,46.8,19.5,30.7,23.2,75.1,-,"18,925",6.7,8%,28 : 72,2012,Asia
251-275,257,Nanjing University,China,40.9,25,24.2,42.3,42.9,-,"29,743",13.3,10%,46:54:00,2012,Asia
251-275,258,National Sun Yat-Sen University,Taiwan,24.9,16,30.4,48.5,42.1,-,"9,336",19.6,4%,37 : 63,2012,Asia
251-275,259,Norwegian University of Science and Technology,Norway,26.9,57.7,26.9,41.5,49.7,-,"17,381",13.9,9%,46:54:00,2012,Europe
251-275,260,Queenâ€™s University Belfast,United Kingdom,26.5,89.5,21.3,42,41.9,-,"17,940",17.9,30%,54:46:00,2012,Europe
251-275,261,Ruhr University Bochum,Germany,34.9,46.6,28.3,36,59.7,-,"38,675",46.3,13%,48:52:00,2012,Europe
251-275,262,Stellenbosch University,South Africa,25.4,44.4,30,36.6,99.6,-,"21,849",23,8%,53:47:00,2012,Africa
251-275,263,Tilburg University,Netherlands,22.6,69.1,49.4,23.6,36,-,"7,576",22.4,10%,49:51:00,2012,Europe
251-275,264,TU Dresden,Germany,27.3,49.2,13.8,57.4,31.9,-,"35,487",37.4,12%,42:58:00,2012,Europe
251-275,265,University of Bath,United Kingdom,25.2,80.6,23.2,39.9,38.9,-,"12,830",18.8,30%,46:54:00,2012,Europe
251-275,266,University of Graz,Austria,24.9,63.8,14,55.1,25.5,-,"20,584",26.8,12%,65:35:00,2012,Europe
251-275,267,University of Hawaiâ€™i at MÄnoa,United States of America,31.3,34.6,29.2,44.3,-,-,,,,,2012,North America
251-275,268,University of Kiel,Germany,29.3,47.3,20.9,52.1,33.6,-,"24,444",23.8,8%,53:47:00,2012,Europe
251-275,269,University of Southern Denmark,Denmark,19.7,73.7,12.4,58,67.9,-,"22,210",12.7,16%,52:48:00,2012,Europe
251-275,270,University of Texas at Dallas,United States of America,23.6,35.9,36.7,44.2,31.1,-,"16,306",22.8,23%,44:56:00,2012,North America
251-275,271,University of the Witwatersrand,South Africa,25.6,71.7,32.4,32.7,100,-,"23,321",18.6,9%,56:44:00,2012,Africa
251-275,272,University of Tsukuba,Japan,37.2,27.2,26.2,41.4,32,-,"15,930",12.6,16%,38 : 62,2012,Asia
251-275,273,University of Wollongong,Australia,21.4,88.7,23,43.5,40.4,-,"16,489",25.4,24%,50:50:00,2012,Oceania
251-275,274,Victoria University of Wellington,New Zealand,16.5,89,21.5,51.1,25.8,-,"17,142",21.1,21%,55:45:00,2012,Oceania
251-275,275,Virginia Polytechnic Institute and State University,United States of America,36.9,25.1,40.4,30.3,24.2,-,"30,850",18.6,10%,42:58:00,2012,North America
251-275,276,Wayne State University,United States of America,34.7,24.6,16.4,55.2,-,-,"23,065",10.7,7%,57:43:00,2012,North America
276-300,277,Aberystwyth University,United Kingdom,19.8,63.8,15.5,56.6,35.5,-,"9,252",19.2,18%,48:52:00,2012,Europe
276-300,278,Autonomous University of Madrid,Spain,28.8,39.7,21.4,47.5,32.5,-,"28,296",13,15%,56:44:00,2012,Europe
276-300,279,Hokkaido University,Japan,44.5,18.8,34.3,21.6,38.7,-,"18,162",8.2,9%,29 : 71,2012,Asia
276-300,280,Hong Kong Baptist University,Hong Kong,20,58.9,11.2,59.7,25.3,-,"10,441",11,25%,61:39:00,2012,Asia
276-300,281,Istanbul Technical University,Turkey,25.1,18.9,18.2,48.9,99.1,-,"34,550",16,5%,34 : 66,2012,Europe
276-300,282,Lomonosov Moscow State University,Russian Federation,47.9,53.3,27.5,11,80,-,"30,822",7.7,20%,43:57:00,2012,Europe
276-300,283,Middle East Technical University,Turkey,37,23.5,28.9,35.1,43.2,-,"25,779",22.2,7%,44:56:00,2012,Europe
276-300,284,Montpellier University,France,24.3,52.9,8.7,62.3,24.9,-,"36,731",18.4,14%,51:49:00,2012,Europe
276-300,285,Queensland University of Technology,Australia,21,76.7,26.7,35.5,62.5,-,"33,391",35.8,17%,54:46:00,2012,Oceania
276-300,286,State University of Campinas,Brazil,52.3,19.1,33.1,15.2,43.2,-,"27,095",15.3,3%,48:52:00,2012,South America
276-300,287,Sun Yat-sen University,China,33.3,20.7,14.3,50.5,42.1,-,"51,351",16.6,8%,51:49:00,2012,Asia
276-300,288,Technical University of Darmstadt,Germany,28,71,15.5,39.2,45.1,-,"20,300",53.6,18%,28 : 72,2012,Europe
276-300,289,Tokyo Medical and Dental University (TMDU),Japan,42.8,18,22.6,36.7,40.8,-,"2,872",3.3,7%,51:49:00,2012,Asia
276-300,290,UiT The Arctic University of Norway,Norway,24.4,63.5,14.4,53,32.8,-,"10,398",12.2,10%,60:40:00,2012,Europe
276-300,291,University of Antwerp,Belgium,21.8,70.7,10.9,55.3,56.2,-,"12,346",30.3,16%,56:44:00,2012,Europe
276-300,292,University of Crete,Greece,13.1,42.6,12.6,66.7,33.2,-,"14,650",26.9,5%,63:37:00,2012,Europe
276-300,293,University of Guelph,Canada,24.2,33.3,31.4,38.6,48.9,-,"21,643",28.3,4%,60:40:00,2012,North America
276-300,294,University of Iceland,Iceland,10.7,56.9,17.3,62.4,75.4,-,"13,960",25.9,8%,66:34:00,2012,Europe
276-300,295,University of Kansas,United States of America,33.2,23.5,20.1,43,27.6,-,,,,,2012,North America
276-300,296,University of Kentucky,United States of America,38.7,18.3,28.4,35.2,-,-,,,,,2012,North America
276-300,297,University of MÃ¼nster,Germany,27.8,43.3,18.5,49.1,35.1,-,"39,838",46.1,8%,53:47:00,2012,Europe
276-300,298,University of Newcastle,Australia,18.2,76.3,27.1,35.8,64.8,-,"23,508",21.9,18%,56:44:00,2012,Oceania
276-300,299,University of Texas at San Antonio,United States of America,14.1,22.6,15.4,70.3,25.3,-,"27,520",26.9,6%,48:52:00,2012,North America
276-300,300,University of Trento,Italy,21.9,49.7,20,51.5,51,-,"16,841",43.2,8%,51:49:00,2012,Europe
276-300,301,York University,Canada,19.9,57.7,27.7,41.2,41.7,-,"48,007",39.4,9%,59:41:00,2012,North America
301-350,302,Aalborg University,Denmark,19,75.3,20,27.1,36.4,-,"17,422",15.9,15%,48:52:00,2012,Europe
301-350,303,Aalto University,Finland,26.2,49,22.2,37.5,61.9,-,"16,099",24.2,17%,32 : 68,2012,Europe
301-350,304,Alexandria University,Egypt,15.2,31.6,7.8,61.4,34.5,-,"127,431",23.3,1%,46:54:00,2012,Africa
301-350,305,Bar-Ilan University,Israel,27.9,47,32.2,15.7,28.5,-,"17,503",16,5%,59:41:00,2012,Asia
301-350,306,"Binghamton University, State University of New York",United States of America,18.7,30.8,20.3,46.2,29.5,-,"15,799",23.3,14%,48:52:00,2012,North America
301-350,307,BoÄŸaziÃ§i University,Turkey,24.5,36.2,19.7,45.7,34.7,-,"11,506",25,7%,50:50:00,2012,Europe
301-350,308,Charles Darwin University,Australia,16.4,46.7,19.4,52.6,31.3,-,"5,570",25.4,15%,67:33:00,2012,Oceania
301-350,309,Charles University in Prague,Czech Republic,32.3,51.4,24.6,31,24.5,-,"51,438",13,15%,62:38:00,2012,Europe
301-350,310,George Mason University,United States of America,29.3,23.8,17.7,42.6,25.1,-,"26,622",17,7%,54:46:00,2012,North America
301-350,311,Indian Institute of Technology Bombay,India,43.8,14.3,15.7,38.8,24.2,-,"8,327",14.9,1%,0.725,2012,Asia
301-350,312,Jagiellonian University,Poland,25.1,39.5,16,43.1,25.8,-,"42,835",11.5,5%,67:33:00,2012,Europe
301-350,313,Keele University,United Kingdom,18,62.6,18.1,39.8,28.1,-,"8,397",15.7,20%,55:45:00,2012,Europe
301-350,314,Keio University,Japan,32.3,18.3,21.9,26.1,40,-,"33,751",11.9,5%,32 : 68,2012,Asia
301-350,315,Kent State University,United States of America,15.9,26.9,13.9,58.3,24.6,-,"23,122",19,8%,58:42:00,2012,North America
301-350,316,Lehigh University,United States of America,20.2,26.5,18.1,44.9,38.6,-,"6,300",11.3,15%,44:56:00,2012,North America
301-350,317,LinkÃ¶ping University,Sweden,19.6,48.6,18.9,42.8,31.8,-,"17,866",7.7,10%,52:48:00,2012,Europe
301-350,318,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,24.3,15.6,37,19.4,42.9,-,"7,446",17.4,11%,34 : 66,2012,Asia
301-350,319,Plymouth University,United Kingdom,12.9,49,13.7,58.1,25.8,-,"24,121",25.9,13%,52:48:00,2012,Europe
301-350,320,Polytechnic University of Milan,Italy,24.1,33.6,17.6,33.9,69.8,-,"30,025",22.2,12%,34 : 66,2012,Europe
301-350,321,Sapienza University of Rome,Italy,29.6,32.4,27.2,29.2,32.8,-,"120,986",32.3,7%,59:41:00,2012,Europe
301-350,322,Shanghai Jiao Tong University,China,39.4,20.5,29.7,19.1,85.2,-,"38,191",12.8,6%,37 : 63,2012,Asia
301-350,323,Sharif University of Technology,Iran,28.5,12.7,29.7,19.3,93.1,-,"10,977",18.7,0%,27 : 73,2012,Asia
301-350,324,Sungkyunkwan University (SKKU),South Korea,31.4,26.6,32.1,23.9,99.4,-,"24,365",20.3,9%,39 : 61,2012,Asia
301-350,325,University College Cork,Republic of Ireland,20.6,77,19.2,29.4,36.8,-,"15,805",22.3,15%,55:45:00,2012,Europe
301-350,326,University of Aveiro,Portugal,17,48.4,15.9,40.9,34.7,-,"10,791",17.8,10%,51:49:00,2012,Europe
301-350,327,University of Canterbury,New Zealand,17.3,76.3,24.3,30.5,26.6,-,"12,187",16.5,20%,51:49:00,2012,Oceania
301-350,328,University of Eastern Finland,Finland,23.2,33.5,16.1,51.1,30.2,-,"10,798",17.3,6%,64:36:00,2012,Europe
301-350,329,University of Ferrara,Italy,15.8,37.1,14.1,59.3,34.3,-,"18,882",30.2,7%,56:44:00,2012,Europe
301-350,330,University of Hertfordshire,United Kingdom,12.2,76.5,7.7,55.5,27.1,-,"19,665",19.4,27%,54:46:00,2012,Europe
301-350,331,University of Houston,United States of America,36.5,27.7,23.6,23.6,31.2,-,"40,325",43.7,9%,50:50:00,2012,North America
301-350,332,University of Hull,United Kingdom,14.5,66.2,16.7,40.2,28.1,-,"15,141",18.7,20%,52:48:00,2012,Europe
301-350,333,University of LiÃ¨ge,Belgium,23.5,68.7,16.4,38.9,64.8,-,"20,951",25.9,23%,54:46:00,2012,Europe
301-350,334,University of Manitoba,Canada,29.5,40.2,31.7,27.7,40.7,-,"28,576",27.8,11%,55:45:00,2012,North America
301-350,335,"University of Maryland, Baltimore County",United States of America,17.6,18.6,14.5,52.8,29.9,-,"13,908",18.1,7%,46:54:00,2012,North America
301-350,336,University of Modena and Reggio Emilia,Italy,14.5,26.8,15.7,50.8,27.9,-,"19,693",25.3,6%,54:46:00,2012,Europe
301-350,337,University of Oklahoma,United States of America,33.8,20.7,16.1,31.6,32.3,-,,,,,2012,North America
301-350,338,University of Pisa,Italy,18.3,26.2,18.5,50.8,35.3,-,"47,247",18,4%,52:48:00,2012,Europe
301-350,339,University of Porto,Portugal,17.7,42,13,43.9,33.7,-,"32,720",18.8,9%,54:46:00,2012,Europe
301-350,340,University of South Florida,United States of America,22.1,15,30.1,36.6,94.4,-,"31,424",21.5,10%,,2012,North America
301-350,341,University of Stirling,United Kingdom,18.2,69.5,22.2,42,26.6,-,"7,828",15.9,22%,61:39:00,2012,Europe
301-350,342,University of Surrey,United Kingdom,32.6,81.5,25.2,12.4,46.9,-,"12,063",16.6,38%,55:45:00,2012,Europe
301-350,343,University of Tampere,Finland,22.5,38.3,22.1,44.4,55.1,-,"10,045",9.5,4%,66:34:00,2012,Europe
301-350,344,University of Tasmania,Australia,18.5,70.5,15,34.9,42.1,-,"18,340",23.8,21%,57:43:00,2012,Oceania
301-350,345,University of Valencia,Spain,15.8,36.4,10.2,64.3,32.1,-,"58,413",15.4,9%,60:40:00,2012,Europe
301-350,346,University of Waikato,New Zealand,13.3,87,13.9,47.8,24.5,-,"10,159",17,25%,57:43:00,2012,Oceania
301-350,347,University of Warsaw,Poland,21.6,35.8,15.7,44.3,-,-,"49,292",14.1,7%,67:33:00,2012,Europe
301-350,348,Vienna University of Technology,Austria,26.3,82.5,14.1,24.3,35.2,-,"26,419",52,27%,27 : 73,2012,Europe
301-350,349,Vrije Universiteit Brussel,Belgium,23.4,49.4,21.1,36.7,66.2,-,"9,020",17.1,16%,55:45:00,2012,Europe
301-350,350,Washington State University,United States of America,28.8,31,24.5,33.5,34.3,-,"24,550",18.3,7%,50:50:00,2012,North America
301-350,351,Zhejiang University,China,38.8,13.9,27.2,23,84.4,-,"47,508",15.9,5%,41:59:00,2012,Asia
350-400,352,Aston University,United Kingdom,16.2,84.5,19.9,11.7,26.8,-,,,,,2012,Europe
350-400,353,Auburn University,United States of America,33.7,22.5,18.7,10.3,47.3,-,"22,386",17.6,4%,51:49:00,2012,North America
350-400,354,Clemson University,United States of America,20.8,28.5,17,25.5,30.8,-,"19,198",17.1,8%,46:54:00,2012,North America
350-400,355,Curtin University,Australia,17.1,91.4,12.3,28.7,31.3,-,"30,333",17.1,38%,53:47:00,2012,Oceania
350-400,356,Deakin University,Australia,17.7,56.3,16.8,26.2,27.9,-,"32,713",30.4,17%,60:40:00,2012,Oceania
350-400,357,Flinders University,Australia,18.2,59.9,19.1,20.3,36.2,-,"15,655",22.6,15%,63:37:00,2012,Oceania
350-400,358,Georgia State University,United States of America,19.6,27.9,20.2,34.4,39.1,-,"28,534",20.4,5%,59:41:00,2012,North America
350-400,359,Griffith University,Australia,15.7,79,16.2,20.3,30.7,-,"30,251",22,21%,,2012,Oceania
350-400,360,Harbin Institute of Technology,China,29,21,12.5,21,97.2,-,"31,658",10.8,7%,29 : 71,2012,Asia
350-400,361,Heriot-Watt University,United Kingdom,21.5,82.6,16.2,18.8,41.1,-,"8,773",17.8,43%,41:59:00,2012,Europe
350-400,362,Hiroshima University,Japan,27.7,18.8,16.3,20.1,39.4,-,"14,686",8.2,5%,36 : 64,2012,Asia
350-400,363,Kansas State University,United States of America,20.9,23.6,13.8,33.9,36,-,"21,379",15.1,10%,50:50:00,2012,North America
350-400,364,Kobe University,Japan,28.3,18.1,15.5,24.3,33.5,-,"15,885",8.4,6%,33 : 67,2012,Asia
350-400,365,Kyung Hee University,South Korea,37.1,31.4,17.9,6.6,79.9,-,"24,356",17.4,14%,,2012,Asia
350-400,366,La Trobe University,Australia,19,71.3,19.5,13.6,28.9,-,"22,037",29,27%,63:37:00,2012,Oceania
350-400,367,Leibniz University of Hanover,Germany,28.2,51.4,15.9,21.7,38.9,-,"22,401",62.7,12%,41:59:00,2012,Europe
350-400,368,Liverpool John Moores University,United Kingdom,12.3,52.6,9.3,48.4,26.9,-,"18,513",19.8,13%,52:48:00,2012,Europe
350-400,369,Loughborough University,United Kingdom,27.9,66.7,25.7,9.2,39.4,-,"13,951",15.9,22%,38 : 62,2012,Europe
350-400,370,Mahidol University,Thailand,29.9,45,14.7,20.9,29,-,"27,402",7.5,3%,63:37:00,2012,Asia
350-400,371,Massey University,New Zealand,17.4,77.8,17.2,24.5,-,-,"19,101",16.8,15%,62:38:00,2012,Oceania
350-400,372,Michigan Technological University,United States of America,21.2,32.3,13.8,24.8,41.9,-,,,,,2012,North America
350-400,373,National Central University,Taiwan,24.7,22.2,21.4,27.1,78.6,-,"10,915",9.8,6%,31 : 69,2012,Asia
350-400,374,National Taiwan Ocean University,Taiwan,12.5,14.3,19.7,31,68,-,"8,240",20.9,5%,30 : 70,2012,Asia
350-400,375,"National University of Ireland, Galway",Republic of Ireland,17.9,72.6,12.2,31.3,32.7,-,"14,067",26.8,14%,56:44:00,2012,Europe
350-400,376,"National University of Ireland, Maynooth",Republic of Ireland,22.9,74.8,18.6,22.1,27.1,-,"7,653",28,11%,55:45:00,2012,Europe
350-400,377,New Jersey Institute of Technology,United States of America,17.1,41.3,14.5,26.4,37.5,-,"10,646",26.2,17%,25 : 75,2012,North America
350-400,378,New University of Lisbon,Portugal,18,48.3,10.9,28.3,38.3,-,"18,867",17.9,7%,49:51:00,2012,Europe
350-400,379,Old Dominion University,United States of America,17.1,27.3,12.5,46.9,-,-,,,,,2012,North America
350-400,380,Polytechnic University of Catalonia,Spain,23,42,12.5,23.3,44.6,-,"22,893",11.7,28%,0.561111111,2012,Europe
350-400,381,Polytechnic University of Turin,Italy,19.3,32.4,12.1,29.1,67.6,-,"27,709",19.6,16%,29 : 71,2012,Europe
350-400,382,Polytechnic University of Valencia,Spain,19.6,23.6,9.8,45.3,36.6,-,"33,172",13.6,7%,36 : 64,2012,Europe
350-400,383,Pontifical Catholic University of Chile,Chile,17.1,45.5,16.3,30.1,29.7,-,"25,075",15.3,7%,,2012,South America
350-400,384,Saint Petersburg State University,Russian Federation,37.6,38.1,19.7,3.1,26,-,"20,836",5.2,7%,60:40:00,2012,Europe
350-400,385,Swansea University,United Kingdom,17.6,63.3,18.1,25.6,28.8,-,"12,801",17.1,20%,49:51:00,2012,Europe
350-400,386,Swinburne University of Technology,Australia,15.5,64.6,11.3,35.6,40.3,-,"20,314",36.5,33%,44:56:00,2012,Oceania
350-400,387,Tokyo University of Agriculture and Technology,Japan,26.5,18,15.8,21.7,41.5,-,"5,865",14.4,5%,27 : 73,2012,Asia
350-400,388,University of Bari Aldo Moro,Italy,23.1,30.5,17.4,35.1,30.6,-,"51,560",65.1,2%,65:35:00,2012,Europe
350-400,389,University of Coimbra,Portugal,20.6,55.8,11.6,27.4,29.4,-,"22,795",19,11%,55:45:00,2012,Europe
350-400,390,University of Idaho,United States of America,29.4,27.4,16.2,24,25.5,-,"11,641",21.5,6%,47:53:00,2012,North America
350-400,391,University of Kent,United Kingdom,15.6,82.5,18.5,19.1,26.5,-,"17,638",14.4,27%,53:47:00,2012,Europe
350-400,392,University of Paris North â€“ Paris 13,France,13.4,59.9,11.8,39.4,24.2,-,"23,026",23.4,22%,60:40:00,2012,Europe
350-400,393,University of Salento,Italy,26.5,24.4,19.1,27.2,73.1,-,"19,959",58.4,1%,64:36:00,2012,Europe
350-400,394,University of South Australia,Australia,20.6,81.8,18,19.4,87.7,-,"18,971",26.2,32%,59:41:00,2012,Oceania
350-400,395,University of Strathclyde,United Kingdom,24.4,63,17.7,19.3,33.1,-,"15,705",20.2,20%,50:50:00,2012,Europe
350-400,396,University of Tartu,Estonia,17.8,42,17.8,34.4,26.3,-,"10,269",13,3%,66:34:00,2012,Europe
350-400,397,University of Turku,Finland,20.4,41.4,21.5,28.9,32.3,-,"12,326",14.6,5%,61:39:00,2012,Europe
350-400,398,University of Wyoming,United States of America,18.4,21.8,20.9,36.7,29.8,-,,,,,2012,North America
350-400,399,University of Zaragoza,Spain,14.5,28.8,9.3,38.4,42.9,-,"31,046",11.8,5%,55:45:00,2012,Europe
350-400,400,Waseda University,Japan,25.4,27.1,17.3,29.7,27.3,-,"52,316",16.9,8%,35 : 65,2012,Asia
350-400,401,Wuhan University,China,31.3,21.7,12.9,25.3,66.7,-,"46,227",14.4,7%,,2012,Asia
350-400,402,Yuan Ze University,Taiwan,10.8,12.8,9.6,58.3,29.2,-,"8,663",20.6,4%,43:57:00,2012,Asia
1,1,California Institute of Technology,United States of America,96.3,59.8,99.4,99.7,95.6,95.5,"2,243",6.9,27%,33 : 67,2013,North America
2,2,Stanford University,United States of America,95,56.6,98.8,99.3,62.4,93.7,"15,596",7.8,22%,42:58:00,2013,North America
2,3,University of Oxford,United Kingdom,89.7,88.7,98.1,95.6,79.8,93.7,"19,919",11.6,34%,46:54:00,2013,Europe
4,4,Harvard University,United States of America,94.9,63.7,98.6,99.2,39.9,93.6,"20,152",8.9,25%,,2013,North America
5,5,Massachusetts Institute of Technology,United States of America,92.9,81.6,89.2,99.9,92.9,93.1,"11,074",9,33%,37 : 63,2013,North America
6,6,Princeton University,United States of America,89.5,54.5,99.4,99.8,79.5,92.7,"7,929",8.4,27%,45:55:00,2013,North America
7,7,University of Cambridge,United Kingdom,91.2,83.6,95.6,96.2,59.1,92.6,"18,812",11.8,34%,46:54:00,2013,Europe
8,8,Imperial College London,United Kingdom,88,91.4,90.9,93,87.5,90.6,"15,060",11.7,51%,37 : 63,2013,Europe
9,9,"University of California, Berkeley",United States of America,85.1,49.7,99.3,99.3,65.4,90.5,"36,186",16.4,15%,50:50:00,2013,North America
10,10,University of Chicago,United States of America,89.6,55.3,92.9,98.7,-,90.4,"14,221",6.9,21%,42:58:00,2013,North America
11,11,Yale University,United States of America,93.2,54.7,92.5,94.8,38.2,89.2,"11,751",4.4,20%,50:50:00,2013,North America
12,12,ETH Zurich â€“ Swiss Federal Institute of Technology Zurich,Switzerland,82.5,95.7,92.7,86.6,-,87.8,"18,178",14.7,37%,31 : 69,2013,Europe
13,13,"University of California, Los Angeles",United States of America,87.3,42.3,93.8,95.9,-,87.7,"38,206",10.3,15%,52:48:00,2013,North America
14,14,Columbia University,United States of America,89.7,66.1,82,96.1,-,87,"25,055",5.9,28%,,2013,North America
15,15,University of Pennsylvania,United States of America,90,38.1,89.4,96.2,43.7,86.6,"20,376",6.5,20%,51:49:00,2013,North America
16,16,Johns Hopkins University,United States of America,81.8,57.3,85.5,95.3,100,85.6,"15,128",3.6,23%,50:50:00,2013,North America
17,17,University College London,United Kingdom,83.5,89,88.8,86.8,45.1,85.5,"26,607",10.7,46%,56:44:00,2013,Europe
18,18,Cornell University,United States of America,77,53.8,92.1,91.8,39.5,83.3,"21,424",10.2,19%,48:52:00,2013,North America
19,19,Northwestern University,United States of America,77.6,33.8,87.3,98.2,64.4,83.1,"18,334",13.8,15%,48:52:00,2013,North America
20,20,University of Michigan,United States of America,76.1,47.6,91.4,91.6,53.9,82.6,"41,786",9,16%,48:52:00,2013,North America
21,21,University of Toronto,Canada,79.6,65.1,89.4,85.1,42.9,82.2,"66,198",19.5,15%,,2013,North America
22,22,Carnegie Mellon University,United States of America,71.8,51.4,87,95.5,55.9,81.5,"11,885",13.1,35%,39 : 61,2013,North America
23,23,Duke University,United States of America,72.3,45.8,81.5,97,100,81.2,"15,172",4.8,17%,49:51:00,2013,North America
24,24,University of Washington,United States of America,74.7,39.1,81.3,97,41.3,79.9,"44,020",11.8,13%,53:47:00,2013,North America
25,25,Georgia Institute of Technology,United States of America,70.2,66.3,79.5,90.3,74.9,78.8,"19,967",20.1,26%,31 : 69,2013,North America
25,26,University of Texas at Austin,United States of America,75.5,42.1,80.7,91,57.9,78.8,"49,427",17.4,9%,51:49:00,2013,North America
27,27,University of Tokyo,Japan,87.9,27.6,89.9,71.3,59,78.3,"26,199",5.7,10%,,2013,Asia
28,28,University of Melbourne,Australia,68.4,77.2,82.5,83.7,67.6,77.9,"40,128",23.7,35%,55:45:00,2013,Oceania
29,29,National University of Singapore,Singapore,74.4,92.3,87.2,67.2,77.4,77.5,"31,592",15.5,34%,49:51:00,2013,Asia
30,30,University of British Columbia,Canada,69.1,82.1,80.4,84,42.4,77.3,"50,152",17.6,25%,54:46:00,2013,North America
31,31,University of Wisconsin-Madison,United States of America,76.1,29.8,80.1,88.2,54.8,76.9,"39,655",10.8,11%,51:49:00,2013,North America
32,32,University of Edinburgh,United Kingdom,68.4,78.9,71.3,90.8,43.8,76.1,"25,774",14.1,36%,58:42:00,2013,Europe
33,33,University of Illinois at Urbana-Champaign,United States of America,74.2,36,84.9,80.8,-,75.8,"42,727",18.7,20%,47:53:00,2013,North America
34,34,McGill University,Canada,74.4,75.9,80.4,75.2,40.3,75.7,"31,326",13.7,23%,56:44:00,2013,North America
35,35,"University of California, Santa Barbara",United States of America,56.1,58.3,73.5,99.4,100,75.6,"22,020",27.3,11%,52:48:00,2013,North America
35,36,University of Hong Kong,Hong Kong,78.4,81.7,85.9,62.1,62.5,75.6,"19,835",17.6,38%,53:47:00,2013,Asia
37,37,Australian National University,Australia,68.6,90,83.5,73.5,39.6,75.4,"14,604",19.2,35%,52:48:00,2013,Oceania
38,38,"University of California, San Diego",United States of America,63.4,34.2,79,96.2,43.9,75.2,"27,233",6.5,11%,48:52:00,2013,North America
39,39,London School of Economics and Political Science,United Kingdom,70.8,87.2,80.8,66.5,42.9,73.1,,,,,2013,Europe
40,40,Ã‰cole Polytechnique FÃ©dÃ©rale de Lausanne,Switzerland,62.4,98.8,57,95,49.8,73,"9,666",10.5,54%,27 : 73,2013,Europe
41,41,New York University,United States of America,73.8,38.7,67.4,89.2,29.5,72.8,"42,056",6.8,19%,55:45:00,2013,North America
42,42,Karolinska Institute,Sweden,66.3,64.5,75.7,77.3,71.4,72.4,"7,774",11.5,22%,70:30:00,2013,Europe
42,43,University of North Carolina at Chapel Hill,United States of America,70.4,32.9,69.3,90.1,40,72.4,"26,518",7.3,8%,58:42:00,2013,North America
44,44,"University of California, Davis",United States of America,67.9,51.7,71.6,82.7,52.5,71.8,"35,364",13.9,13%,54:46:00,2013,North America
44,45,Washington University in St Louis,United States of America,66,44.3,62.8,95.2,-,71.8,"12,528",5.7,17%,,2013,North America
46,46,Peking University,China,81.5,54.1,67.9,64.3,99.9,70.7,"40,148",8.3,14%,,2013,Asia
47,47,University of Minnesota,United States of America,66.1,28.7,74,84.7,-,70.5,"46,825",18,13%,52:48:00,2013,North America
